"Designator","Comment","Datasheet","Footprint","Qty","DNP"
"C1","3.3uF/16V","~","Capacitor_SMD:C_0603_1608Metric","1",""
"C2,C3","100nF","~","Capacitor_SMD:C_0603_1608Metric","2",""
"C4","100nF X7R","~","Capacitor_SMD:C_0603_1608Metric","1",""
"C5","10nF","~","Capacitor_SMD:C_0603_1608Metric","1",""
"C6","10uF X7R","~","Capacitor_SMD:C_0603_1608Metric","1",""
"C7","10nF X7R","~","Capacitor_SMD:C_0603_1608Metric","1",""
"C8,C9","1uF","~","Capacitor_SMD:C_0603_1608Metric","2",""
"U2","TLV74318PDBVR","","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","1",""
